p_id,median_tbc,mean_tbc
19400735,1,1.6
19427701,0,0
32383277,0,179
19471600,0,0
19479058,0,0
19525714,0,5.384615385
19586697,0,49.16666667
19613027,0,9
19632850,0,0.071428571
19804199,0,0
19850577,0,0.875
20242735,6,6
20060374,0,0.254901961
27177841,0,24.4375
20099384,0,0
20220984,0,11.5
20234745,0,0
20395473,0,0
20772444,3,22.125
21215361,0,2.275280899
21283427,3,4
21356137,0,0
21437714,0,0
21484190,1,1
21551391,2,6.857142857
21644970,0,0.861386139
25405137,0,4.352941176
22252272,1,2.983050847
27269104,83,83
24116602,49,149
22247247,0,0.391304348
22166791,0,0.5
22227194,0,0.142857143
22240185,0,34.5
22252977,0,0.5
22188694,8,143
23152402,9,9
23128793,2,2
22360268,0,0.4
22380316,0,0.230769231
23198954,0,0
22957179,0,0
23027737,0,0
23396521,0,0
22044325,0,0
22072300,0,0.333333333
22049300,0,0
23680885,0,0
22084027,0,0
23963490,0,155
24156801,0,0
24230610,17,28.8
24298215,0,0.428571429
24325757,0,0.166666667
24455711,0,0
24381865,0,0
24636915,7,7
24743732,0,0
24754232,1,1.5
25023728,0,0
23236658,0,0.148148148
25062929,0,0
25066337,0,2
25182530,0,0
25304544,24,24
25998123,0,0.413043478
25051415,0,22.9
25530833,0,2.166666667
25445001,0,2.75
25595340,0,0
24959181,0,0.076923077
29687966,0,8.567567568
26070933,0,2.11627907
26090773,6,12.66666667
26173940,0,0
26264115,2,2.5
26173632,0,0
26101059,0,2.807692308
25816504,0,0
25942333,0,0
26045825,0,1
26662980,0,0
26633538,0,0
26654925,160,112
26696733,0,0
26720492,,
26947783,0,18.28571429
27008218,0,0
27026816,0,0.909090909
27047066,1,1
27058173,0,1.535031847
27195242,0,0.111111111
27308797,0,9.714285714
27597337,0,3
27400029,0,1.223463687
27544435,1,1
27512349,0,6.448979592
29646791,1,4.041666667
27428202,0,1.619047619
27527781,0,1.502325581
27569876,0,7.724137931
27575029,0,0.166666667
27619983,0,0
27641912,0,1.338709677
27689751,0,0.166666667
27698100,0,0.125
27796320,0,0
27800900,10,10
27812973,0,0
28084447,1,1
28105178,0,61.2
28131006,0,0.727272727
28158018,0,0
28186987,0,0
28210557,0,0
28273218,0,1.5
28282403,0,2.192307692
28300191,1,1
28310477,0,9.8
28395261,0,0.6
28414678,0,0
28519957,0,1.770700637
28601558,0,0
28665135,0,2.5
28746277,2,2
28808197,0,0
28821521,0,0
28923043,0,1.666666667
28998303,0,2.166666667
28998961,0,4.25
29115073,0,0.333333333
29445705,0,0.019736842
29319244,0,1.272727273
29442082,0,0
29196125,2,6.318181818
29528703,0,0.363636364
29217360,0,0
29537654,0,4.53125
29634855,0,16.5625
29650292,0,0.53968254
29916201,0,0
29916699,0,0
29950405,0,0
30014300,0,0.5
30029794,0,0
30030660,0,0.071428571
30184545,0,3.116666667
30236181,1,1.1875
30299397,0,0.615384615
30384973,0,0.714285714
30478528,0,10
30482837,0,1.038297872
30645710,0,0
30736002,0,1.425925926
30770633,0,0.225806452
30831688,0,0
30835818,0,0
30935752,0,0
31071181,4,12.5
31100880,0,0.25
31128143,0,0
31154144,0,0
31177821,0,7.5
31302843,2,6.6
31310042,1,1
31318635,0,1.4
31500393,26,26
31539646,1,1.5
31632230,0,0.5
31640290,0,16.55555556
31656546,0,0
31679626,0,1.846153846
31759144,0,3.923076923
31808989,0,0.166666667
31842724,1,0.722222222
32080077,0,0.714285714
31906209,0,1.039473684
31930330,0,0.166666667
31964366,0,0.574585635
31970649,0,1.168674699
31977630,0,3.785714286
32005889,0,0.11627907
32045041,2,2
32063811,17,67.33333333
32101351,0,0.636363636
32144298,0,0
32150515,0,0
32184972,0,0.5
32231600,0,0.333333333
32291270,0,0
32319423,0,0
32327678,0,0.242424242
32349060,0,10
32358088,0,0.25
32356520,3,3
32452990,0,0.035087719
32463797,0,0
32540173,0,0.142857143
32571660,0,0.363636364
32626078,0,1.285714286
32616801,0,0
32693956,0,3.3
32696805,0,0
32723947,0,2
32794354,0,45
32862382,0,4.25
32892105,0,1.275862069
32914144,0,0.5
32948076,0,0
33025589,0,0
33060552,0,0
32184474,0,0.220779221
33167329,0,0.154761905
33155675,0,6.1
33231852,1,3.090909091
33298949,0,0.371428571
33466445,0,1.444444444
33595705,0,0
33846200,0,0
34131097,0,4.75
34159974,0,1.25
34176374,0,0.12
34242892,0,0
34251200,1,1
34372029,0,0
34410600,0,0
34454439,0,0
34487845,0,0
34560593,0,0
34560230,0,6.5
34607190,0,0.722222222
34605609,0,0.904761905
23911518,11,11
35048926,0,0
35034445,0,0.4
35134509,0,20.5
35206426,0,0.25
35401646,0,0.321428571
35249026,0,0
35278045,1,3
35254632,0,0.174025974
35419157,2,2
35421578,0,0.6
35462473,0,0.5
35472771,1,3.142857143
35528405,1,0.666666667
35599029,0,3.315789474
35657662,0,3.083333333
35805027,0,0.625
35885755,0,0
36282443,0,0
36297849,0,0.333333333
36304215,0,0
36320724,1,5.5
36352058,0,0
36545465,0,0.041666667
36681157,0,0
36789346,8,8
36863136,1,1
36920768,5,6
36954677,0,0
37119324,1,3
37190129,0,0.5
37288889,2,3.714285714
37304233,0,0.666666667
37324820,0,0
37336325,0,1.486486486
37498812,0,0
37500528,0,0
37622762,0,0.7
37610717,0,0.103806228
37746735,0,1
37778631,0,0.333333333
37887145,,
38002905,0,0
38194872,0,0.75
38412519,0,0
42166171,2,3.5
38460213,0,0.333333333
38622968,0,0
38727561,1,0.6
38812122,0,0
38893797,0,2.909090909
38938730,1,1
39045147,0,0
39078451,0,0
39134920,0,0
39206120,2,3.4
39333325,0,1.045454545
39484417,0,2.428571429
39519116,0,0
39540946,0,0
39551566,2,2
39574838,1,1.5
39658752,0,0.333333333
39662005,0,2.064516129
39670873,0,0
40026818,0,0
40105678,0,0
40363675,0,0
40384841,0,0
40565950,0,0
40818805,1,0.636363636
40844725,0,5.333333333
41286964,9,9
40930436,0,0.9
41207912,0,0
41609424,2,4.333333333
41588782,0,0.318181818
41773149,0,0.428571429
41839777,0,0.033898305
42015649,0,4
42034012,0,0
42129573,0,2.9
42205809,0,0.111111111
42314499,0,0.5
43042974,0,1.5
42695430,1,2
42704990,3,4.333333333
42768456,0,0
42768259,0,0.082926829
43189695,0,0
43365301,0,0
43372105,0,0
43502531,0,0.333333333
43526239,0,0
43769531,0,0.166666667
43856000,0,0
43857766,0,0
43176762,0,0
44028776,0,0
44085605,0,0.75
44089652,0,0.571428571
44303926,0,0
44422500,0,0.049180328
44461187,0,0.5
44570395,0,0
44362648,0,0
17889464,0,31.25
26244081,6,35.86111111
597431,1,29.7173913
28766530,0,2.714733542
2210760,1,28.14814815
1199252,0,43.26666667
1134576,835,835
828843,1,14.0619469
16291848,0,2.163240629
268924,1,177
2522083,0,0
2545488,0,82.94117647
792015,0,4.571428571
1112279,0,2.942857143
1091934,1,1
19200046,0,362.6666667
236658,0,39.11111111
477581,0,2.909574468
39238,0,2.352083333
2786661,3,32.52631579
165999,0,0.913043478
289300,0,0
475994,0,1.375
579848,0,0.75
649075,0,0.4
660840,0,31.22222222
695336,0,0.75
737169,0,0
845321,0,11.04918033
3751035,0,50
1014589,1,40.76190476
3751532,0,21.26865672
1434843,0,0
1692217,2,18.92857143
4089508,0,5.166666667
2807676,0,2.25
7309451,356,356
2900470,42,35.33333333
2326875,1,3.162162162
2444839,0,0
2450252,0,0.142857143
2472353,0,0
2527353,0,0.5
2764609,1,1.444444444
2786367,0,26.25
3074818,0,52.69230769
3089108,0,5.7
3194827,0,0
3395378,0,11.82608696
4792987,0,27.25
5533968,7,49.8
3509472,3,5.333333333
3898163,35,95
3757801,0,0.6
3754407,0,0
3776902,0,2.315789474
3816993,0,40.66666667
5630276,163,163
3887325,0,0
4028059,5,26.13333333
4131877,0,0
4175628,0,0.05
4329951,0,2.903225806
4465838,2,15.57894737
4324249,3,17.5
4489394,0,0
4567977,0,3
4609897,0,18.57142857
5042651,21,46.6
4665350,0,0
4956415,3,50.58333333
4740569,0,8.259259259
4935185,0,0
4941960,1,6.083333333
4956701,0,6.844444444
4964556,0,0
