p_id,commits,authors
37965246,2,1
3971268,13,1
42577961,2,1
20573943,3,1
13107326,6,1
3660777,42,3
10351118,5,1
20684572,9,2
17432496,5,1
3522805,3,1
14103071,5,1
15594430,4,2
29704150,16,1
16277503,4,1
11813945,3,1
3362335,4,1
22085862,3,2
35131958,16,1
26987228,4,1
31277393,26,2
4653197,7,1
36776158,4,1
35500887,3,1
34215237,3,1
16144086,398,1
42762824,15,2
2938959,2,1
21201403,3,1
8574670,13,1
30789092,4,1
30093529,3,2
32503369,229,2
8800997,89,1
4741783,6,1
31959355,5,1
33950689,3,2
5672930,3,1
31931646,7,2
20987901,16,1
41087350,2,1
42827586,7,2
33057488,17,1
31841986,4,1
20078959,4,1
33120110,4,1
22311170,2,1
37394530,6,2
12777358,2,1
9579981,3,1
42417686,13,1
734162,3,1
2958867,17,2
36752654,2,1
8604187,2,1
20614635,2,1
28230550,5,1
37484879,4,1
6500518,2,1
30886582,2,1
35478996,2,1
21586692,7,1
30475676,9,1
7823786,2,1
16930409,74,4
43516473,18,1
19537222,3,1
37090708,2,2
30506424,2,1
43406393,4,1
38033342,4,1
20820840,3,1
27745209,7,1
23079665,2,1
12292232,10,1
14156115,13,6
12128195,87,1
22015126,13,7
28936429,12,1
3104568,3,1
10746797,268,1
19955302,2,1
11202322,22,1
1366592,2742,6
24494190,4,1
13901092,3,2
36270797,7,2
5626421,3,1
28396919,3,1
549215,28,1
39202114,7,1
12262046,18,1
39758901,7,1
36012126,2,2
30231624,34,2
16508607,13,1
8541525,3,1
32227763,21,1
34595691,25,2
21996381,4,2
39832898,3,1
7314952,48,2
26778934,3,1
18589420,5,1
13590837,39,4
34290364,14,1
2549813,9,2
40627628,2,1
34459694,2,1
21932900,4,1
35620716,8,1
32649812,2,1
43012768,31,1
24423245,2,1
19454009,10,3
31241781,4,1
13839655,3,1
23508338,3,1
21720418,4,1
18046379,2,1
32571142,6,1
43037731,2,1
30044915,7,1
26448511,3,1
6257254,27,2
35678490,19,1
